,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
276,Changji Hui AP,Temp_max_oct,13.80329100743923,BCC-CSM2-MR,14.7063272736798,GFDL-ESM4,15.864353586022633,ACCESS-CM2,"(14.37579092553566, 15.160032779651647)"
277,East Kazakhstan Region,Temp_max_oct,10.836849403803582,CMCC-ESM2,12.015401740792916,MIROC6,12.917519087089955,ACCESS-CM2,"(11.489984414990017, 12.278829466653095)"
278,Govi-Altai,Temp_max_oct,9.407291944296375,BCC-CSM2-MR,10.43690864872068,GISS-E2-1-G,11.36134394989339,ACCESS-CM2,"(10.037555131372756, 10.842969998814223)"
279,Ili Kazakh Autonomous Prefecture,Temp_max_oct,11.042585249662238,CMCC-ESM2,12.007673525106958,MIROC6,12.944894695732945,ACCESS-CM2,"(11.606119020015344, 12.365673948261032)"
280,Khovd,Temp_max_oct,7.631278766957364,CMCC-ESM2,8.561182776162791,GISS-E2-1-G,9.709534732315891,HadGEM3-GC31-LL,"(8.237662944457066, 9.103210709202743)"
281,Pavlodar Region,Temp_max_oct,10.360317115118995,CMCC-ESM2,11.094198230981725,BCC-CSM2-MR,12.368752988206545,UKESM1-0-LL,"(10.757137858872653, 11.53120402362596)"
282,Tyva Republic,Temp_max_oct,2.9926662086276687,CMCC-ESM2,4.207318041114374,GISS-E2-1-G,5.445471862846258,UKESM1-0-LL,"(3.8086551610124433, 4.659399051547161)"
283,Uvs,Temp_max_oct,7.060120240480962,CMCC-ESM2,8.071302761773547,GISS-E2-1-G,9.56078250250501,HadGEM3-GC31-LL,"(7.770203834453561, 8.729013229482003)"
284,Zavkhan,Temp_max_oct,5.381647358741076,CMCC-ESM2,6.35147135643392,EC-Earth3-Veg,7.750078220224621,HadGEM3-GC31-LL,"(6.003308643153598, 6.878310619092079)"
285,Almaty Region,Temp_max_oct_std,4.002733943254527,FIO-ESM-2-0,4.025141412182165,MIROC6,4.048202517432663,EC-Earth3-Veg,"(4.013905430207538, 4.032448934427615)"
286,Altai Republic,Temp_max_oct_std,3.465799633641091,GISS-E2-1-G,3.5667647240963536,MIROC6,3.6529970297779726,UKESM1-0-LL,"(3.548774623720947, 3.6161338658370936)"
287,Altai krai,Temp_max_oct_std,1.06779442583621,BCC-CSM2-MR,1.1134505131633812,FIO-ESM-2-0,1.181840061538396,ACCESS-CM2,"(1.0992317955774296, 1.1353102697327542)"
288,Altay Prefecture,Temp_max_oct_std,4.8471903629605215,MIROC6,4.956617292541305,MPI-ESM1-2-HR,5.052383188879109,CMCC-ESM2,"(4.921042108115596, 4.999638428214515)"
289,BayanUlgii,Temp_max_oct_std,3.1451499818623447,GFDL-ESM4,3.240564223404893,CMCC-ESM2,3.269397666102585,GISS-E2-1-G,"(3.217905907976927, 3.2553655548260436)"
290,Bortala Mongol AP,Temp_max_oct_std,5.478276847042263,FIO-ESM-2-0,5.508618490713346,GFDL-ESM4,5.596622668448482,EC-Earth3-Veg,"(5.491126194484357, 5.527674528117437)"
291,Changji Hui AP,Temp_max_oct_std,4.082796993110586,CMCC-ESM2,4.119251324718796,MIROC6,4.192055099923992,EC-Earth3-Veg,"(4.101583619891558, 4.139169060082494)"
292,East Kazakhstan Region,Temp_max_oct_std,2.7264265800877903,MIROC6,2.7790666664956287,CMCC-ESM2,2.851044088359433,ACCESS-CM2,"(2.7635906878854986, 2.8057653206637063)"
293,Govi-Altai,Temp_max_oct_std,3.4634418628191708,MIROC6,3.549858187091412,MRI-ESM2-0,3.6124429366311386,CMCC-ESM2,"(3.5146016855927185, 3.570476040412525)"
294,Ili Kazakh Autonomous Prefecture,Temp_max_oct_std,5.048627548487118,MIROC6,5.11049419246292,UKESM1-0-LL,5.1952591509926815,EC-Earth3-Veg,"(5.088948442747048, 5.137828751665811)"
295,Khovd,Temp_max_oct_std,3.755266022794736,MIROC6,3.8113725798569833,MRI-ESM2-0,3.856379409416033,UKESM1-0-LL,"(3.786718940677901, 3.822257662606915)"
296,Pavlodar Region,Temp_max_oct_std,0.6045837294632165,CMCC-ESM2,0.6674214339891917,GFDL-ESM4,0.7064529258903552,INM-CM5-0,"(0.6447916736652076, 0.6838683251300909)"
297,Tyva Republic,Temp_max_oct_std,2.5066478096647438,GISS-E2-1-G,2.5519290953366807,GFDL-ESM4,2.626957706656622,HadGEM3-GC31-LL,"(2.5347484001219662, 2.5765911930564194)"
298,Uvs,Temp_max_oct_std,2.743095927175391,GISS-E2-1-G,2.83615801870712,INM-CM5-0,2.914166042563346,HadGEM3-GC31-LL,"(2.8175440938525713, 2.868670664328334)"
299,Zavkhan,Temp_max_oct_std,2.7225915368169624,GISS-E2-1-G,2.85481722986442,UKESM1-0-LL,2.9889503772016317,ACCESS-CM2,"(2.825717847052275, 2.908584906636919)"
300,Almaty Region,Temp_max_nov,5.126563245925118,CMCC-ESM2,6.814410633908477,MIROC6,7.660778298267749,UKESM1-0-LL,"(6.131049411784856, 6.975874773369824)"
301,Altai Republic,Temp_max_nov,-5.661484306248167,CMCC-ESM2,-4.5746845436711645,GFDL-ESM4,-2.9121884396083897,EC-Earth3-Veg,"(-4.895079870318997, -3.9630197391000737)"
302,Altai krai,Temp_max_nov,-2.016865064888318,CMCC-ESM2,-0.4188029968893493,MRI-ESM2-0,1.3657171460327653,UKESM1-0-LL,"(-0.951649049308714, 0.2938726168229475)"
303,Altay Prefecture,Temp_max_nov,-1.3447846297083648,CMCC-ESM2,0.221705645510519,MRI-ESM2-0,1.02591335289903,EC-Earth3-Veg,"(-0.23975956867999057, 0.6362031092595059)"
304,BayanUlgii,Temp_max_nov,-7.545789594620743,CMCC-ESM2,-6.134333881578947,GISS-E2-1-G,-5.405139197948916,EC-Earth3-Veg,"(-6.542863728330461, -5.751525653814095)"
305,Bortala Mongol AP,Temp_max_nov,1.4519650655021834,CMCC-ESM2,3.1060511540860887,MRI-ESM2-0,4.069806856285091,UKESM1-0-LL,"(2.6592364892590155, 3.540936423083827)"
306,Changji Hui AP,Temp_max_nov,1.7410519288951174,CMCC-ESM2,3.600544599355616,MRI-ESM2-0,4.307145687080888,EC-Earth3-Veg,"(3.06476214446901, 3.9759688675643243)"
