,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
94,BayanUlgii,Temp_min_apr,-8.360898195626936,MPI-ESM1-2-HR,-7.2290713283668735,MIROC6,-6.388792811532507,BCC-CSM2-MR,"(-7.723314230653954, -7.0583435115167985)"
95,Bortala Mongol AP,Temp_min_apr,1.609357332930443,MPI-ESM1-2-HR,2.2129131657439176,UKESM1-0-LL,2.6002496539691204,HadGEM3-GC31-LL,"(2.053344065796563, 2.346943884006091)"
96,Changji Hui AP,Temp_min_apr,3.449203197034786,MPI-ESM1-2-HR,4.20618156695306,GISS-E2-1-G,4.652682231637678,MRI-ESM2-0,"(4.02989209893704, 4.424163434342024)"
97,East Kazakhstan Region,Temp_min_apr,-0.1894496365748893,ACCESS-CM2,0.60195212269194,MIROC6,0.9693248531520426,BCC-CSM2-MR,"(0.2697302225343454, 0.7006553868057628)"
98,Govi-Altai,Temp_min_apr,-2.6259809351679104,MPI-ESM1-2-HR,-1.5819083988539446,EC-Earth3-Veg,-1.036524582722548,MRI-ESM2-0,"(-1.8736395271510595, -1.361274464233023)"
99,Ili Kazakh Autonomous Prefecture,Temp_min_apr,1.0830388179745554,MPI-ESM1-2-HR,1.798874303366359,CMCC-ESM2,2.1590070683686107,MRI-ESM2-0,"(1.6316487057986344, 1.9707338407951673)"
100,Khovd,Temp_min_apr,-3.15265507661095,MPI-ESM1-2-HR,-1.937325694949128,GFDL-ESM4,-1.5026355832122094,BCC-CSM2-MR,"(-2.3756498901826726, -1.7847109313177751)"
101,Pavlodar Region,Temp_min_apr,0.8467913302167446,ACCESS-CM2,1.6336378883008391,GFDL-ESM4,2.8499679597853804,UKESM1-0-LL,"(1.4962430154529276, 2.2594257177160633)"
102,Tyva Republic,Temp_min_apr,-8.301809047345028,MPI-ESM1-2-HR,-7.1417411600127,HadGEM3-GC31-LL,-6.510135973093103,BCC-CSM2-MR,"(-7.4066706949251255, -6.839169271769423)"
103,Uvs,Temp_min_apr,-5.206092262650301,MPI-ESM1-2-HR,-4.150340916207415,GFDL-ESM4,-3.4009417272044087,BCC-CSM2-MR,"(-4.451151751474065, -3.88492653490639)"
104,Zavkhan,Temp_min_apr,-7.622740455772244,MPI-ESM1-2-HR,-6.382099675692147,GISS-E2-1-G,-5.597649448241337,BCC-CSM2-MR,"(-6.740370844085398, -6.095268529600294)"
105,Almaty Region,Temp_min_apr_std,3.910518893523818,EC-Earth3-Veg,3.958459522271581,MRI-ESM2-0,4.036150864278062,GFDL-ESM4,"(3.9430967780769968, 3.9923944136452945)"
106,Altai Republic,Temp_min_apr_std,2.530584445876212,CMCC-ESM2,2.862523608679993,HadGEM3-GC31-LL,3.008638528342488,INM-CM5-0,"(2.7748749833394912, 2.912539231787539)"
107,Altai krai,Temp_min_apr_std,1.1697916517853086,GFDL-ESM4,1.3303902892917254,BCC-CSM2-MR,1.4857932130181395,INM-CM5-0,"(1.2762741828941517, 1.3979025921184545)"
108,Altay Prefecture,Temp_min_apr_std,4.371277042677282,BCC-CSM2-MR,4.596884069942506,MIROC6,4.747324398547883,ACCESS-CM2,"(4.5163020360759605, 4.662644156183892)"
109,BayanUlgii,Temp_min_apr_std,2.5069079510009216,GFDL-ESM4,2.5852519536824667,BCC-CSM2-MR,2.750451374449436,UKESM1-0-LL,"(2.5495607475445383, 2.6247495424542397)"
110,Bortala Mongol AP,Temp_min_apr_std,6.185405454685683,UKESM1-0-LL,6.246490257003026,EC-Earth3-Veg,6.326585172496295,GISS-E2-1-G,"(6.231089466245117, 6.272096651076452)"
111,Changji Hui AP,Temp_min_apr_std,4.200619491249463,EC-Earth3-Veg,4.2684380122976044,MIROC6,4.3758150423217765,GFDL-ESM4,"(4.251282898443043, 4.299774241978981)"
112,East Kazakhstan Region,Temp_min_apr_std,2.4634895967927126,GFDL-ESM4,2.718423586436109,ACCESS-CM2,2.824367305014701,HadGEM3-GC31-LL,"(2.639921176322878, 2.7572407447339207)"
113,Govi-Altai,Temp_min_apr_std,3.0249658489118776,BCC-CSM2-MR,3.2950647416802306,UKESM1-0-LL,3.371606212206694,ACCESS-CM2,"(3.205925308531398, 3.3200275658243217)"
114,Ili Kazakh Autonomous Prefecture,Temp_min_apr_std,5.084974016153962,BCC-CSM2-MR,5.196515385644874,MIROC6,5.275662254145911,ACCESS-CM2,"(5.155398201645816, 5.229926505738915)"
115,Khovd,Temp_min_apr_std,3.312034410591683,GFDL-ESM4,3.4437029260361984,MPI-ESM1-2-HR,3.546003122776275,EC-Earth3-Veg,"(3.3929882957730766, 3.4761004650121117)"
116,Pavlodar Region,Temp_min_apr_std,0.3727989761194825,EC-Earth3-Veg,0.4147165335019571,FIO-ESM-2-0,0.5619110467047631,CMCC-ESM2,"(0.39538340569862673, 0.4685353973581807)"
117,Tyva Republic,Temp_min_apr_std,2.8356598487480342,UKESM1-0-LL,3.0479882766395088,GISS-E2-1-G,3.161405666953247,MRI-ESM2-0,"(2.9924206862146425, 3.095641703712607)"
118,Uvs,Temp_min_apr_std,2.314091818035209,GFDL-ESM4,2.403322269559788,CMCC-ESM2,2.5300750842671764,GISS-E2-1-G,"(2.365415351210168, 2.4368534958105723)"
119,Zavkhan,Temp_min_apr_std,2.5572133202472496,GFDL-ESM4,2.7037911275361863,FIO-ESM-2-0,3.002814281702495,GISS-E2-1-G,"(2.6591477151828435, 2.8125503444845323)"
120,Almaty Region,Temp_min_may,8.571929559094318,BCC-CSM2-MR,9.075483359476232,MIROC6,9.847665041260315,HadGEM3-GC31-LL,"(8.863714117615194, 9.344245624724236)"
121,Altai Republic,Temp_min_may,-0.6138163684364917,CMCC-ESM2,0.3505133899924831,ACCESS-CM2,1.70928430487313,UKESM1-0-LL,"(0.07279425164237374, 0.7556733836964916)"
122,Altai krai,Temp_min_may,6.006654214335746,MPI-ESM1-2-HR,6.737590230757258,INM-CM5-0,7.688084311035878,UKESM1-0-LL,"(6.388333549117801, 6.906041911109572)"
123,Altay Prefecture,Temp_min_may,6.806387196082136,GFDL-ESM4,7.458276742409927,BCC-CSM2-MR,8.092327845490049,UKESM1-0-LL,"(7.20596314010727, 7.682834749062643)"
124,BayanUlgii,Temp_min_may,-1.6883592540634675,CMCC-ESM2,-1.0404024767801858,FIO-ESM-2-0,0.2445510344608649,UKESM1-0-LL,"(-1.1655933993271774, -0.5191648793598984)"
125,Bortala Mongol AP,Temp_min_may,7.05689283764816,EC-Earth3-Veg,7.5582659953992515,FIO-ESM-2-0,8.363256881628198,HadGEM3-GC31-LL,"(7.327699374350721, 7.808545129644197)"
126,Changji Hui AP,Temp_min_may,9.912196962751468,GFDL-ESM4,10.483109479777871,GISS-E2-1-G,11.335373500366725,HadGEM3-GC31-LL,"(10.290188236774927, 10.846467923559395)"
127,East Kazakhstan Region,Temp_min_may,6.1028729686556655,MPI-ESM1-2-HR,6.556545110937814,ACCESS-CM2,7.479135483749245,UKESM1-0-LL,"(6.410853332770008, 6.882276995941076)"
128,Govi-Altai,Temp_min_may,5.011396421908316,INM-CM5-0,5.703582256130064,EC-Earth3-Veg,6.630213469482943,UKESM1-0-LL,"(5.447940109380732, 6.06171044878312)"
129,Ili Kazakh Autonomous Prefecture,Temp_min_may,7.204588634316595,GFDL-ESM4,7.690436064512498,GISS-E2-1-G,8.342614451981536,HadGEM3-GC31-LL,"(7.514935910716349, 7.966707968758992)"
130,Khovd,Temp_min_may,4.4715699188469,CMCC-ESM2,5.098042332848837,ACCESS-CM2,5.85951542817345,UKESM1-0-LL,"(4.789938667031422, 5.345353381641803)"
131,Pavlodar Region,Temp_min_may,7.417137032511687,MPI-ESM1-2-HR,8.011740331491712,MRI-ESM2-0,9.0370371600085,UKESM1-0-LL,"(7.815352113377237, 8.328642281053767)"
132,Tyva Republic,Temp_min_may,-1.1682991023593143,CMCC-ESM2,-0.3619334867846654,FIO-ESM-2-0,0.8357170583974919,UKESM1-0-LL,"(-0.533037865260791, 0.06259269873210224)"
133,Uvs,Temp_min_may,2.734228613476954,CMCC-ESM2,3.5926853707414828,ACCESS-CM2,4.700401193011022,UKESM1-0-LL,"(3.318581923724084, 3.927316092259807)"
134,Zavkhan,Temp_min_may,-0.4014103786675083,CMCC-ESM2,0.5069475713640519,EC-Earth3-Veg,1.4770677006246735,UKESM1-0-LL,"(0.27984915399135796, 0.912655426339086)"
135,Almaty Region,Temp_min_may_std,4.093323354109318,BCC-CSM2-MR,4.135943648330047,MIROC6,4.287250903932655,GFDL-ESM4,"(4.124095405425917, 4.18599026120879)"
136,Altai Republic,Temp_min_may_std,2.8308910123822133,MPI-ESM1-2-HR,2.923316097305712,GISS-E2-1-G,3.004575619561675,UKESM1-0-LL,"(2.892615859441083, 2.963393340044864)"
137,Altai krai,Temp_min_may_std,1.2202124352220745,MRI-ESM2-0,1.3147917167585046,EC-Earth3-Veg,1.516174922979664,CMCC-ESM2,"(1.2730894332808116, 1.3662340625631308)"
138,Altay Prefecture,Temp_min_may_std,4.581630775219924,BCC-CSM2-MR,4.717864951374227,GFDL-ESM4,4.860381020110275,ACCESS-CM2,"(4.678364552756853, 4.772397991718127)"
139,BayanUlgii,Temp_min_may_std,2.7521459000016413,MIROC6,2.7756843718671025,BCC-CSM2-MR,2.9421511824195123,UKESM1-0-LL,"(2.7650147224126234, 2.8287649403815673)"
140,Bortala Mongol AP,Temp_min_may_std,6.473407631969514,INM-CM5-0,6.505918959446303,EC-Earth3-Veg,6.618142916238486,GFDL-ESM4,"(6.4914395549675055, 6.537964032213885)"
141,Changji Hui AP,Temp_min_may_std,4.460617871778418,EC-Earth3-Veg,4.517387908426342,GISS-E2-1-G,4.54187442058839,GFDL-ESM4,"(4.497822559529042, 4.527644889978785)"
142,East Kazakhstan Region,Temp_min_may_std,2.7074953692657644,UKESM1-0-LL,2.7962610471926554,HadGEM3-GC31-LL,2.98966857027143,CMCC-ESM2,"(2.759650080908016, 2.849510872403254)"
143,Govi-Altai,Temp_min_may_std,3.28568714562089,BCC-CSM2-MR,3.411329110258104,EC-Earth3-Veg,3.5146096212945848,GFDL-ESM4,"(3.3704425265834024, 3.445507119705499)"
144,Ili Kazakh Autonomous Prefecture,Temp_min_may_std,5.426643423486963,MPI-ESM1-2-HR,5.477205065241535,MRI-ESM2-0,5.527615555961257,ACCESS-CM2,"(5.462038034465681, 5.492512535116446)"
145,Khovd,Temp_min_may_std,3.5182708789650325,GISS-E2-1-G,3.650872371676847,EC-Earth3-Veg,3.714986748347065,UKESM1-0-LL,"(3.6102330769551845, 3.665386722644823)"
146,Pavlodar Region,Temp_min_may_std,0.4818572556425272,HadGEM3-GC31-LL,0.4954620039659695,MIROC6,0.5834087474340401,GFDL-ESM4,"(0.48772569336834787, 0.5210406882000006)"
147,Tyva Republic,Temp_min_may_std,2.714981811807039,GFDL-ESM4,2.955848656270139,FIO-ESM-2-0,3.0543304158040865,MPI-ESM1-2-HR,"(2.8880518379808002, 3.00056462708252)"
148,Uvs,Temp_min_may_std,2.525962157842847,UKESM1-0-LL,2.61815402702463,GFDL-ESM4,2.690330331702528,EC-Earth3-Veg,"(2.5908635758507432, 2.6412667450701073)"
149,Zavkhan,Temp_min_may_std,2.702154605549977,GFDL-ESM4,2.783861089898153,MRI-ESM2-0,2.97961202963678,CMCC-ESM2,"(2.754036613229773, 2.8430564875480355)"
150,Almaty Region,Temp_min_jun,13.365415927845598,CMCC-ESM2,14.314218824592512,FIO-ESM-2-0,14.942664998636022,ACCESS-CM2,"(14.048146498931537, 14.644321854170727)"
151,Altai Republic,Temp_min_jun,4.587459780177471,CMCC-ESM2,5.808814901730713,FIO-ESM-2-0,6.646098791801115,UKESM1-0-LL,"(5.240257066997582, 5.998633033373041)"
